artist_category,year,avg_artist_followers
Emerging,2025,1549195
Famous,2025,31627623
Emerging,2024,941600
Famous,2024,32552917
Emerging,2023,918806
Famous,2023,28132669
Emerging,2022,1588026
Famous,2022,24710721
Emerging,2021,1305161
Famous,2021,44575960
Emerging,2020,1447512
Famous,2020,33795095
Emerging,2019,2971184
Famous,2019,37211061
Emerging,2018,2392241
Famous,2018,36431683
Emerging,2017,2312589
Famous,2017,41974561
Emerging,2016,3045200
Famous,2016,45750676
Emerging,2015,2421368
Famous,2015,32720605
Emerging,2014,3093037
Famous,2014,26156549
Famous,2013,29177190
Emerging,2012,3204736
Famous,2012,40377860
Emerging,2011,3204736
Famous,2011,41087668
Emerging,2010,2869170
Famous,2010,26918394
Emerging,2009,3240579
Famous,2009,26777060
Famous,2008,50765760
Emerging,2007,2578349
Famous,2007,23947788
Famous,2006,24249713
Emerging,2005,3199531
Famous,2005,19211104
Famous,2004,33085044
Emerging,2003,3186792
Famous,2003,25058658
Emerging,2002,3186792
Famous,2002,40147449
Famous,2001,12055390
Emerging,2000,3188092
Famous,2000,44367542
Famous,1999,14534580
Famous,1998,21603823
Famous,1997,10253068
Emerging,1996,3241599
Famous,1996,21603823
Emerging,1995,3186792
Famous,1995,16473208
Emerging,1994,3186792
Famous,1994,16709964
Famous,1993,16971431
Emerging,1991,3199531
Famous,1991,32961214
Famous,1990,31330581
Famous,1989,6963825
Famous,1987,28784949
Famous,1986,34598561
Famous,1985,8488105
Famous,1984,54042593
Famous,1983,10069249
Emerging,1982,2726936
Famous,1982,47981252
Famous,1980,22799955
Famous,1979,31330581
Famous,1978,31265349
Famous,1977,21369804
Famous,1976,42686587
Famous,1974,54042593
Famous,1973,17304851
Famous,1972,14939882
Famous,1971,14939882
Famous,1970,12103588
Famous,1969,12639773
Famous,1967,26338309
Famous,1966,20217412
Famous,1965,22665771
Famous,1964,30010848
Famous,1963,30010848
Emerging,-470,1630114
Famous,-470,13523597
