artist_category,year,avg_artist_popularity
Emerging,2025,82.47
Famous,2025,89.73
Emerging,2024,81.82
Famous,2024,88.84
Emerging,2023,81.21
Famous,2023,87.17
Emerging,2022,76.72
Famous,2022,85.88
Emerging,2021,76.36
Famous,2021,87.57
Emerging,2020,76.33
Famous,2020,86.78
Emerging,2019,76.0
Famous,2019,87.43
Emerging,2018,77.0
Famous,2018,87.51
Emerging,2017,77.0
Famous,2017,88.68
Emerging,2016,79.0
Famous,2016,89.0
Emerging,2015,77.0
Famous,2015,86.83
Emerging,2014,76.0
Famous,2014,85.81
Famous,2013,87.47
Emerging,2012,77.0
Famous,2012,88.5
Emerging,2011,77.0
Famous,2011,89.33
Emerging,2010,76.0
Famous,2010,85.88
Emerging,2009,78.0
Famous,2009,86.6
Famous,2008,88.44
Emerging,2007,78.5
Famous,2007,88.6
Famous,2006,84.0
Emerging,2005,75.0
Famous,2005,85.57
Famous,2004,83.71
Emerging,2003,76.0
Famous,2003,87.8
Emerging,2002,76.0
Famous,2002,86.8
Famous,2001,82.25
Emerging,2000,77.0
Famous,2000,89.4
Famous,1999,82.67
Famous,1998,81.0
Famous,1997,80.5
Emerging,1996,76.0
Famous,1996,81.0
Emerging,1995,76.0
Famous,1995,80.5
Emerging,1994,76.0
Famous,1994,84.0
Famous,1993,84.0
Emerging,1991,75.0
Famous,1991,84.0
Famous,1990,83.0
Famous,1989,81.0
Famous,1987,82.5
Famous,1986,83.0
Famous,1985,80.0
Famous,1984,86.0
Famous,1983,82.0
Emerging,1982,77.0
Famous,1982,85.67
Famous,1980,82.6
Famous,1979,83.0
Famous,1978,83.0
Famous,1977,84.0
Famous,1976,84.5
Famous,1974,86.0
Famous,1973,83.67
Famous,1972,84.0
Famous,1971,84.0
Famous,1970,81.2
Famous,1969,81.0
Famous,1967,84.5
Famous,1966,82.0
Famous,1965,83.0
Famous,1964,86.0
Famous,1963,86.0
Emerging,-470,80.88
Famous,-470,83.56
