artist_name,track_name,track_popularity
sombr,back to friends,97
Alex Warren,Ordinary,96
WizTheMc,Show Me Love,94
Gigi Perez,Sailor Song,93
The Marías,No One Noticed,93
The Goo Goo Dolls,Iris,93
Doechii,Anxiety,92
Neton Vega,Morena,92
yung kai,blue,92
Jombriel,VITAMINA,91
Myles Smith,Stargazing,91
Djo,End of Beginning,91
Lola Young,Messy,91
wifiskeleton,Nope your too late i already died,90
Imogen Heap,Headlock,90
FloyyMenor,Gata Only,89
Tyla,PUSH 2 START,88
Mark Ronson,Uptown Funk (feat. Bruno Mars),88
Shaboozey,A Bar Song (Tipsy),88
BigXthaPlug,All The Way (feat. Bailey Zimmerman),88
Sam Barber,Indigo (feat. Avery Anna),87
CYRIL,Stumblin' In,87
Outkast,Ms. Jackson,86
Zach Top,I Never Lie,86
Addison Rae,Diet Pepsi,86
Timbaland,The Way I Are,86
Lost Frequencies,Black Friday (pretty like the sun),86
Artemas,i like the way you kiss me,85
Øneheart,snowfall,85
Vance Joy,Riptide,85
Riley Green,Worst Way,85
Jorsshh,ROSONES,85
Beéle,sobelove,85
Sublime,Santeria,84
Robin Schulz,Sugar (feat. Francesco Yates),84
Bailey Zimmerman,Rock and A Hard Place,84
Daryl Hall & John Oates,Maneater,84
Lizzy McAlpine,ceilings,83
Baby Keem,family ties (with Kendrick Lamar),83
Macklemore,Can't Hold Us (feat. Ray Dalton),82
Megan Moroney,Am I Okay?,82
Alex G,Treehouse,82
Lord Huron,The Night We Met,82
Ken Carson,ss,81
Montell Fish,Hotel,81
Faye Webster,I Know You,81
Jordan Davis,Buy Dirt,81
Adam Port,Move (feat. Camila Cabello & Malachiii),80
Beach House,Space Song,80
Sleepy Hallow,2055,80
Brooks & Dunn,Neon Moon,79
ROA,ME GUSTAS CC,79
Diplo,Heartless (feat. Morgan Wallen),79
B.o.B,Airplanes (feat. Hayley Williams of Paramore),79
Calle 24,Que Onda,79
Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",78
Jorge Rivera-Herrans,Would You Fall in Love with Me Again,78
League of Legends,Legends Never Die,78
Ella Langley,you look like you love me (feat. Riley Green),78
Calmly,Floating In Space,77
Lainey Wilson,Watermelon Moonshine,77
John Summit,Shiver,76
Sexyy Red,Get It Sexyy,75
Dominic Fike,3 Nights,75
Cody Johnson,Dirt Cheap,75
Phoebe Bridgers,Scott Street,74
Latto,Somebody,73
WIU,Horas Iguais,72
Mc Rodrigo do CN,Amantes da Foda,72
Forrest Frank,UP!,71
Pure Relaxing Vibes,Gentle Rain and Thunder,71
Alan Jackson,It's Five O'Clock Somewhere,68
C. Tangana,Párteme La Cara,68
Leon Thomas,NOT FAIR,67
HARDY,Car That Drove You Away,66
Brandon Lake,COUNT 'EM,65
Santhosh Narayanan,"Thenmozhi (From ""Thiruchitrambalam"")",65
benny blanco,Graduation (with Juice WRLD),64
¥$,FRIED,63
LUCKI,Diamond Stitching,63
Natasha Bedingfield,Love Like This (feat. Sean Kingston),63
Shaggy,"I Need Your Love (feat. Mohombi, Faydee & Costi)",61
JID,Off Deez (with J. Cole),61
Felix Jaehn,Waking Up,55
Swae Lee,Krabby Step (with Tyga & Lil Mosey),51
Shenseea,Pon Mi,48
RAYE,Escapism.,10
Luan Pereira,ELA PIROU NA DODGE RAM,2
Supernova Ent,Nunca Sozinho,0
Tainy,NULL,NULL
Gur Sidhu,NULL,NULL
Kumaar,NULL,NULL
Nate Dogg,NULL,NULL
FISHER,NULL,NULL
Cast of EPIC: The Musical,NULL,NULL
Lily-Rose Depp,NULL,NULL
Lenny Tavárez,NULL,NULL
NOTION,NULL,NULL
Mainstreet,NULL,NULL
Keinemusik,NULL,NULL
bees & honey,NULL,NULL
Mambo Kingz,NULL,NULL
Dei V,NULL,NULL
Amitabh Bhattacharya,NULL,NULL
Skepta,NULL,NULL
Jøtta,NULL,NULL
Jessie Murph,NULL,NULL
Chencho Corleone,NULL,NULL
Omar Courtz,NULL,NULL
Kausar Munir,NULL,NULL
Irshad Kamil,NULL,NULL
Kapo,NULL,NULL
Anderson .Paak,NULL,NULL
Disney,NULL,NULL
Clementine Douglas,NULL,NULL
Jon Pardi,NULL,NULL
Jess Glynne,NULL,NULL
Luar La L,NULL,NULL
Ray Dalton,NULL,NULL
Arcane,NULL,NULL
MC Cebezinho,NULL,NULL
HUGEL,NULL,NULL
Juicy J,NULL,NULL
MC GP,NULL,NULL
London Symphony Orchestra,NULL,NULL
Connor Price,NULL,NULL
DJ Luian,NULL,NULL
Empire Of The Sun,NULL,NULL
Tems,NULL,NULL
Almighty,NULL,NULL
Disclosure,NULL,NULL
DFZM,NULL,NULL
Kacey Musgraves,NULL,NULL
Lil Jon,NULL,NULL
