genre,total_artists,avg_artist_popularity,total_tracks,avg_track_popularity,total_albums,avg_album_popularity
[],156,88.0,205,63.3853658536585,188,88.0
"""drill""",39,84.0,57,59.0877192982456,43,84.0
"""grime""]",39,84.0,57,59.0877192982456,43,84.0
"[""uk drill""",39,84.0,57,59.0877192982456,43,84.0
"[""soft pop""]",37,78.0,55,62.6,52,78.0
"[""r&b""]",33,90.0,40,64.65,39,90.0
"""punjabi pop""]",32,88.0,35,62.3714285714286,34,88.0
"[""punjabi hip hop""",32,88.0,35,62.3714285714286,34,88.0
"[""musicals""]",3,84.0,7,69.5714285714286,4,84.0
"[""k-pop""]",3,86.0,6,77.5,5,86.0
"[""drill""]",4,80.0,5,47.6,5,80.0
"[""soft rock""]",2,86.0,5,39.2,4,86.0
"""classical piano""]",2,88.0,3,50.0,3,88.0
"""emo rap""]",1,86.0,3,88.6666666666667,2,86.0
"""horrorcore""",1,86.0,3,88.6666666666667,2,86.0
"""latin""]",3,80.0,3,49.6666666666667,3,80.0
"""metal""",2,83.0,3,84.3333333333333,3,83.0
"""post-hardcore""]",2,83.0,3,84.3333333333333,3,83.0
"[""classical""",2,88.0,3,50.0,3,88.0
"[""dark trap""",1,86.0,3,88.6666666666667,2,86.0
"[""latin pop""",3,80.0,3,49.6666666666667,3,80.0
"[""metalcore""",2,83.0,3,84.3333333333333,3,83.0
"[""modern rock""]",1,84.0,3,81.3333333333333,2,84.0
"[""rage rap""]",2,84.0,3,73.6666666666667,3,84.0
"""corrido""",1,39.0,2,33.0,2,39.0
"""grupera""",1,39.0,2,33.0,2,39.0
"""m\u00fasica mexicana""]",1,39.0,2,33.0,2,39.0
"""norte\u00f1o""",1,39.0,2,33.0,2,39.0
"""psychedelic pop""]",2,40.0,2,60.0,2,40.0
"""ranchera""",1,39.0,2,33.0,2,39.0
"""sad sierre\u00f1o""",1,39.0,2,33.0,2,39.0
"""sierre\u00f1o""",1,39.0,2,33.0,2,39.0
"[""banda""",1,39.0,2,33.0,2,39.0
"[""bangla pop""]",1,85.0,2,76.5,2,85.0
"[""bedroom pop""]",1,86.0,2,83.5,2,86.0
"[""classic rock""",2,28.0,2,37.5,2,28.0
"[""europop""]",1,28.0,2,25.5,1,28.0
"[""indie""",2,40.0,2,60.0,2,40.0
"[""slap house""]",2,16.0,2,51.5,2,16.0
"""art pop""]",1,83.0,1,83.0,1,83.0
"""country rock""]",1,28.0,1,28.0,1,28.0
"""honky tonk""",1,85.0,1,85.0,1,85.0
"""new age""",1,14.0,1,14.0,1,14.0
"""soft rock""]",1,47.0,1,47.0,1,47.0
"""southern rock""",1,28.0,1,28.0,1,28.0
"""symphonic rock""]",1,14.0,1,14.0,1,14.0
"""traditional country""]",1,85.0,1,85.0,1,85.0
"[""christmas""]",1,29.0,1,29.0,1,29.0
"[""country""",1,85.0,1,85.0,1,85.0
"[""country""]",1,82.0,1,82.0,1,82.0
"[""dream pop""]",1,77.0,1,77.0,1,77.0
"[""hyperpop""",1,83.0,1,83.0,1,83.0
"[""progressive rock""",1,14.0,1,14.0,1,14.0
